job_ref,item_id,item_name,monday_current,joblogic_quotes,missing_in_monday,extra_in_monday
M0000796,3016811757,TMV replacements,UP02813,UP03357,UP03357,UP2813
PROJ0000245,5035580375,LGA | Refresh Project,UP00496,UP01194,UP01194,UP496
PROJ0000570,2715063507,LON37 | 01-102 and 01-104 | Picture Hanging,UP01468,UP01922,UP01922,UP1468
PROJ0000604,2748325559,LON13 | 3F | Signage | Freetrade | Neon sign making buzzing sound,UP01646,"UP01831, UP01832, UP01834","UP01831, UP01832, UP01834",UP1646
PROJ0000657,2742227877,Fire Curtain S&I 8-11 Floors,UP01493,UP03099,UP03099,UP1493
PROJ0000806,2806765096,LON13 | 3F | Neon sign repair | Freetrade | WeWork paid quote for repair of member neon signage,UP01832,UP02340,UP02340,UP1832
PROJ0000823,2816124044,LON49| 1st Floor | 01-103 | Office adjustments | Member Paid,UP02017,"UP02017, UP02143",UP02143,
PROJ0000845,2818924150,LON41 | PROJECT | 02W114 | Panel Removal | HPE | Member would like glass panels removed,UP02052,"UP02029, UP02052",UP02029,
PROJ0000921,2836531927,LON54 | Rails for lockers | 13th floor,Option 1: Tension Rods - No drilling 10 Lockers - UP02150 25 Lockers - UP02155  Option 2: Mounted Steel Rails (Screwed) 10 Lockers - UP02151 25 Lockers - UP02156,"UP02150, UP02151, UP02155, UP02156","UP02150, UP02151","UP215025, UP215125"
PROJ0001080,2872638262,LON28 | 05B149 | Frosting quote,UP02237,"UP02237, UP02301",UP02301,
PROJ0001246,2845634244,LON25| Grommets| Audit,UP02183,UP02912,UP02912,UP2183
PROJ0001363,2913022611,LON19| LG-116 Lovecorn | Removal of glass panels,Emailed cteam options,UP02569,UP02569,
PROJ0001598,2956625709,LON11 | Glass frosting quote | 50.01 | QUOTE,UP02712/UP02713,"UP02694, UP02697, UP02712, UP02713","UP02694, UP02697",
PROJ0001599,2932426986,LON44 | Projects | 2F | shattered whiteboard,UP02589,UP02994,UP02994,UP2589
PROJ0001673,2964040548,LON17 | Ground Floor | ventilation smell - Smell issue on GF - Survey 2,UP02740,UP03028,UP03028,UP2740
PROJ0001766,2980871314,LON25 | Aldwych H - Ground Floor Store | Heater replacement,UP02845,UP03033,UP03033,UP2845
PROJ0001785,2915533706,LON33 | 7th Floor Communal Area | Leak from the Ceiling | WeWork | Ceiling leak issues above the pool table.,UP02884,UP03167,UP03167,UP2884
PROJ0001787,2966632396,LON17 | 2A crack in the glass/vinyl by the handle of the door,UP02843,UP03043,UP03043,UP2843
PROJ0001813,2992573900,LON71 | 07-114 Glass Partition Quote,Emailed options to c team - formal quote to follow.,UP02941,UP02941,
PROJ0001838,2984782253,LON49 | 1st Floor | Quote for Mid Band Frosting | Starmark Investment Management Ltd / 01-121,UP02917,UP03037,UP03037,UP2917
PROJ0002048,3052763189,Aviation House - LON23 | 4th floor Leak -,UP03120,UP03182,UP03182,UP3120
PROJ0002054,3025956827,LON45 | Ground Floor | Neon Sign Light is Out,UP03129,UP03336,UP03336,UP3129
PROJ0002095,3056498026,LON17 I MZQCIY I Add partition- Floor: 3 Office: Pockit office,UP03225,"UP03215, UP03225",UP03215,
PROJ0002172,2915434357,LON06  | GF | loose tiles in pantry area,UP02978,UP03327,UP03327,UP2978
PROJ0002247,3084528376,LON09 | Quote - Member Paid | LG-101,UP03297/UP03340,"UP03297, UP03317, UP03340",UP03317,
RE0008859,2564640323,Vinyl logo | Branch Metrics | Design custom request | member paid (copy),UP01047,"UP01005, UP01047",UP01005,
RE0009076,2557272497,LON13 | 2nd | Office 02-111 | Frosting - remove and replace.,UP00999,"UP00998, UP00999",UP00998,
RE0009321,2560538365,Coursera | PVC | Member paid,UP1024,"UP01023, UP01024",UP01023,
RE0009488,2566366028,LON11 | 3.036 Privacy frosting - 4 panels,UP01058/RE0009488,UP01064,UP01064,UP1058
RE0010424,2607372464,LON13 | 6th floor 06-102 | Skirting damaged and needs repainting | WW| Painting needed | Member Paid,UP01153,"UP01153, UP01154",UP01154,
RE0010804,2616857344,LON41 | 08w111 | Member request | UP review of TV move in office + reinstatement of the wall P&D,UP01266,"UP01202, UP01266",UP01202,
RE0011629,2740366289,LON12 | 4th floor | multiple | water leak - survey,UP02385,"UP01570, UP02385",UP01570,
RE0012069,2666178852,LON-43 | QUOTE | Accord's office | They want trunking | GRW103 | 70 person.,UPO1321 /  UP01323,"UP01321, UP01323",UP01321,
RE0012407,2673271597,LON 41 | 01-111 | White board installation,UP01328,"UP01328, UP01335",UP01335,
RE0014146,2734004296,LON44 | 04-133 | Frosting Quote,UP01525,UP01545,UP01545,UP1525
RE0014791,2748142397,LON25| Glass Panel Removal| 2-127 & 2-125,UP01641,"UP01641, UP01644",UP01644,
RE0015134,2855635225,LON31| Timer- Floor: 7 Office: 101,UP02293,"UP02098, UP02293",UP02098,
RE0015271,2758950728,LON71 | 11683614 - Hang multipul items,UP01715,"UP01715, UP01751",UP01751,
RE0016826,2804427177,LON54 | build storage unit,UP01979,"UP01944, UP01979",UP01944,
RE0018342,2848844546,LON 09 | GR-103 Frosting Panels,UP02189,UP02162,UP02162,UP2189
RE0018627,2857492755,Hang Item- Floor: 6 Office: 06C130,UP02271,"UP02271, UP02507",UP02507,
RE0023275,3007926430,LON71 | REPLACEMENTS/ORDER REQUEST - Rectangle Floor Grommet Covers | 50x,UP02983,"UP02983, UP03351",UP03351,
RE0024929,3065386951,LON33 | Wellness Room | Carpet Replacement,UP0334,UP03348,UP03348,UP334
